#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=E: Soll ich jetzt hier bestätigen, oder ich mache schnell?
1-1	0-1	E	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-2	1-2	:	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-3	3-7	Soll	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-4	8-11	ich	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-5	12-17	jetzt	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-6	18-22	hier	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-7	23-33	bestätigen	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-8	33-34	,	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-9	35-39	oder	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-10	40-43	ich	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-11	44-49	mache	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-12	50-57	schnell	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	
1-13	57-58	?	*[1]	Sonstiges[1]	*[1]	*[1]	*[1]	*[1]	*[1]	_	_	_	_	

#Text=L (glz.): Hallo Frau Roth, wie geht es Ihnen denn?
2-1	59-60	L	_	_	_	_	_	_	_	_	_	_	_	
2-2	61-62	(	_	_	_	_	_	_	_	_	_	_	_	
2-3	62-65	glz	_	_	_	_	_	_	_	_	_	_	_	
2-4	65-66	.	_	_	_	_	_	_	_	_	_	_	_	
2-5	66-67	)	_	_	_	_	_	_	_	_	_	_	_	
2-6	67-68	:	_	_	_	_	_	_	_	_	_	_	_	
2-7	69-74	Hallo	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-8	75-79	Frau	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-9	80-84	Roth	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-10	84-85	,	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-11	86-89	wie	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-12	90-94	geht	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-13	95-97	es	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-14	98-103	Ihnen	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-15	104-108	denn	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	
2-16	108-109	?	*[2]	Begrüßung[2]	*[2]	*[2]	*[2]	*[2]	*[2]	*[29]	*[29]	*[29]	Klärende Frage[29]	

#Text=E: Bestanden, jetzt gibt es... Danke, dass Sie fragen.
3-1	110-111	E	_	_	_	_	_	_	_	_	_	_	_	
3-2	111-112	:	_	_	_	_	_	_	_	_	_	_	_	
3-3	113-122	Bestanden	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-4	122-123	,	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-5	124-129	jetzt	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-6	130-134	gibt	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-7	135-137	es	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-8	137-138	.	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-9	138-139	.	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-10	139-140	.	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-11	141-146	Danke	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-12	146-147	,	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-13	148-152	dass	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-14	153-156	Sie	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-15	157-163	fragen	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	
3-16	163-164	.	*[3]	Smalltalk[3]	*[3]	*[3]	*[3]	*[3]	*[3]	_	_	_	_	

#Text=E: Vielen Dank, dass Sie erst mal auf mich eingegangen sind.
4-1	165-166	E	_	_	_	_	_	_	_	_	_	_	_	
4-2	166-167	:	_	_	_	_	_	_	_	_	_	_	_	
4-3	168-174	Vielen	*[4]	Smalltalk[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-4	175-179	Dank	*[4]	Smalltalk[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-5	179-180	,	*[4]	Smalltalk[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-6	181-185	dass	*[4]	Smalltalk[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-7	186-189	Sie	*[4]	Smalltalk[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-8	190-194	erst	*[4]	Smalltalk[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-9	195-198	mal	*[4]	Smalltalk[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
